127.0.0.1, 2015-05-07 10:23:25, GET, /examples/default/index, HTTP/1.1, 200, 0.008207
127.0.0.1, 2015-05-07 10:23:25, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000277
127.0.0.1, 2015-05-07 10:23:28, GET, /examples/default/what, HTTP/1.1, 200, 0.274681
127.0.0.1, 2015-05-07 10:23:28, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/default/download, HTTP/1.1, 200, 0.018120
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/css/artwork.css, HTTP/1.1, 304, 0.000303
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000157
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 304, 0.000898
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/logo_db.png, HTTP/1.1, 304, 0.001043
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 304, 0.001405
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 304, 0.000206
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 304, 0.000962
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 304, 0.000825
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 304, 0.000471
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 304, 0.000278
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 304, 0.000578
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 304, 0.000161
127.0.0.1, 2015-05-07 10:23:30, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 304, 0.000415
127.0.0.1, 2015-05-07 10:23:32, GET, /examples/default/documentation, HTTP/1.1, 200, 0.059133
127.0.0.1, 2015-05-07 10:23:32, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2015-05-07 10:23:34, GET, /examples/default/support, HTTP/1.1, 200, 0.009920
127.0.0.1, 2015-05-07 10:23:34, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000390
127.0.0.1, 2015-05-07 11:12:26, GET, /, HTTP/1.1, 303, 0.000622
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.022888
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001510
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000276
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001240
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000949
